CH1,CH2,CH27,CH28
-33.1882664446982,-4.38268168617427,57.6568758410532,70.1289962047466
-35.3883933820674,-5.69025684012435,76.4802736531671,71.1298398017423
-18.3357179838284,-6.44132761073875,77.2778598356044,80.0634091109667
-14.5000566958697,-6.17588114590458,77.525767420809,78.3681192360623
-19.925590888444,-4.81782361758491,67.1995350796133,82.56791035534
-25.8202083318676,-5.56752979608529,65.1484929766863,78.1769435231127
-32.9182581849717,-6.89162308191692,64.776915365333,70.3085067406898
-42.3968248286845,-7.3683156167727,49.8856937820474,78.1372994276275
-46.8393021387614,-4.69590216410715,60.1354818052831,82.2196096643882
-28.1226867542371,-4.23075821570997,80.0254847323313,70.4996855386501
-24.18618943628,-7.70507416266596,70.5161902879014,76.2513349344317
-28.6242069851585,-5.39302643724532,60.4401011897162,86.4751417688847
-36.5496325001519,-5.86156889698351,51.0134179829016,92.1783229574423
-43.8384992299793,-5.45963180805274,43.806691917286,91.1693195192834
-49.0447909005621,-7.3774876395511,44.0366675909731,83.6779620484038
-42.5043580010668,-6.1348119061416,62.738425608783,80.4046282549428
-28.1995969156093,-4.70738352897508,71.6401319174887,71.9933592382271
-28.2127397921244,-5.86484766321689,66.7110204961796,80.9847602752606
-31.1977380208148,-6.14397753304323,60.9868558213365,79.7290016901696
-35.5766700296989,-5.51706906950618,56.6535186829366,78.3790064064811
-40.0766805683469,-6.78191812662552,43.2255688300598,84.2831546076829
-48.5122745557706,-6.73794790627286,53.4568717752047,72.9432473691025
-34.4021486821981,-4.53840303850795,57.5680558421966,82.7376309107201
-21.7845862473592,-3.74207880756737,67.1027834396167,80.801565166334
-21.403871024489,-3.85546941579219,62.2787031015032,84.2731681174897
-25.4507939142603,-3.36691820444205,56.9040547376906,86.3119016935071
-29.9055286638651,-4.86551796990672,54.5728560006722,76.0664181492124
-37.7335079156755,-3.64686348311104,42.0351140405788,80.2432546411925
-47.3207587616658,-3.5842594823969,46.2712069665777,80.0984698341667
-26.1476855953131,-2.39325687459366,62.6058368539476,76.5311543437346
-19.2140580785901,-1.73743495114932,59.6577312953073,79.2467313364789
-21.4475324894951,-2.63272539279867,63.8608368926761,71.1363807096414
-22.7863695279155,-3.32398638542715,55.0602057868521,72.0274699401693
-28.8135197747162,-2.17545740137819,41.7581694536695,77.6509322740999
-36.7102795039161,-1.7953362729088,38.691470024828,75.7376802469784
-39.1950398988131,-1.52792204738818,43.5467212801374,84.8195381643785
-20.7048098566455,-0.565578615203103,47.1235617783354,86.0095557310098
-19.7526668109624,-1.03338564675418,44.4325883704705,84.2565585515566
-20.5799772678563,-2.25265422557788,40.788599743214,78.2759176145236
-23.7558726522864,-1.5855497412038,27.0602142780653,88.0362159552782
-36.1207772409637,-2.18644912862538,28.1661484109372,78.3727316525616
-44.4331829246434,-4.57959902568,30.8595099191385,84.0813497922807
-24.6776354303563,-2.71918645050747,40.8555957266356,87.9775906685386
-14.5935139181698,-1.83202386429865,53.8907544981971,74.4664675583956
-15.0564018103783,-2.39392984434505,46.5404984709371,82.5826834010071
-17.4776951576082,-1.35142275200529,44.4212150074535,75.8662059242061
-21.9755398864066,-0.506788343504406,34.2747686109404,80.1352742388447
-29.5895723145376,-1.81533879297249,27.3967364109884,80.7113374835735
-35.7246387794228,-2.17630382014814,50.6581789072436,80.3308572578858
-14.2581996146491,-0.0950584330308391,61.1138246764008,77.3476955648466
-10.2673919786378,0.116573171096189,57.6573120876531,82.7377016262813
-9.94590198947998,0.390486125334523,50.9329198294675,90.204298988224
-13.2069772534663,-0.832649324924078,39.4379755558375,100.329734414331
-22.9456012400007,0.428756731531962,50.5689609519797,79.8714472746562
-29.3924720766162,-0.591806026690181,45.9182319129176,79.9060548800528
-17.5081993292876,1.3143246371173,57.2881598887832,91.5927197148527
-4.88067893964699,0.0523832959095639,70.1824275348944,76.1156875963998
-6.78988367666915,2.84924690615533,69.1762541558716,83.3723655429866
-7.67454497188431,3.11689228081636,74.6233412722855,70.5435499331282
-12.4095550108473,2.22814408274899,66.0867882996782,73.8440354963935
-20.5121241851503,2.76300590008214,57.0957462581767,74.7813509404494
-29.5891930582399,0.690284481953652,71.0411327276166,71.0890594423177
-9.4402095020832,3.67012028929189,79.7761017614147,70.7366302707302
-0.136281999134377,4.45736179772639,92.7004330008428,54.2822149461529
-3.67407717531539,4.14247536284314,90.0961178512354,55.574262302125
-5.99749444047654,2.48159001922425,85.2813976603601,52.6900341184538
-13.1293204404835,2.03877248160307,80.9574455855406,51.3431531345156
-23.5692832699181,1.26358918295798,78.8470253201185,44.2997685432945
-34.3885344727577,0.165620193019764,89.7119393192428,39.4896685628145
-14.7411586847412,2.04832698648411,106.39548067089,27.9909465525335
