CH1,CH2,CH27,CH28
42.23624883,-46.9919112,97.17256633,33.89349497
37.63083689,-38.88658909,89.0352183,34.80351253
33.40745049,-43.54127134,84.89834603,34.64892539
20.74886792,-35.27988237,78.69380727,34.35727535
15.50693404,-41.66209637,77.50618035,34.4313231
35.35899756,-40.89942898,95.77295453,36.91299246
36.11531491,-28.745623,97.86509591,36.47927305
37.18637684,-32.58037056,100.1688781,35.24717088
45.53001252,-38.84281205,88.89028022,33.99648654
34.73248389,-31.55562751,82.05890335,34.38084432
41.3167668,-46.23512939,76.30063155,34.42861177
18.63304796,-38.83550954,66.68507583,35.45283667
6.019022573,-25.97173874,83.84074558,34.79929879
30.98017449,-35.89238039,92.31468755,36.09224802
20.56927848,-16.92506832,93.96138552,34.56262264
35.11271842,-30.88653282,86.33262296,35.54860451
37.55182928,-38.03744884,80.5133268,33.45461339
29.7808063,-34.59492612,73.97648615,33.41639203
17.87483368,-34.75414142,63.9277618,35.00136276
7.824111157,-31.68890014,69.10607029,36.19634436
26.94326094,-35.0822421,84.43921585,35.10134735
36.33439069,-40.77927036,85.02800838,34.92240014
29.49804957,-27.11099822,81.38877611,35.92987533
29.13852007,-30.33350292,74.90262522,36.6428773
29.46593573,-39.05432462,67.06630875,35.09850857
18.15784545,-37.46378685,59.02095029,35.75198235
4.448502616,-31.32559914,50.15395314,35.36245206
4.294589874,-35.88438093,74.19457793,37.37797869
22.3606979,-45.25090029,75.74799994,37.69720195
20.86711831,-27.55444911,77.26522096,36.75382969
13.53840799,-24.71057506,71.35306185,35.82468381
27.92754112,-44.04976904,63.91446915,36.73156059
4.758869066,-24.77038859,53.82001999,35.64338043
4.711408196,-35.91521327,44.67523963,35.14446984
-0.270010785,-39.10680372,56.2689667,34.29858489
8.307177484,-30.50917336,65.55214133,36.92102683
26.71325315,-32.9230667,59.70957867,33.09411106
19.43430504,-22.176751,62.11501342,36.26774996
29.88595442,-38.16644162,55.76043499,34.55503132
23.23176526,-37.51361587,52.82620577,34.37836396
3.9192034,-15.16757043,35.8039786,33.3615492
5.515571905,-30.98453106,37.77575236,34.05328714
18.44291034,-45.22664999,56.3796833,35.89269424
21.30910917,-34.96835155,54.26219283,36.84292828
33.92411733,-38.08327379,62.93854598,36.41931545
27.93586523,-31.93325806,56.89064397,35.02138755
23.0898215,-27.7143375,49.0262612,35.0716394
22.53345872,-34.68003562,37.43688871,33.38260086
7.369521231,-24.00369587,29.04741437,35.68315101
12.06467088,-35.32982185,58.14137003,35.25695586
24.87880894,-33.57600412,60.44799302,34.61371605
29.88823553,-29.62329733,62.45243389,36.00370778
27.06480055,-19.32849884,56.96993503,36.50005372
34.82445769,-36.63949733,53.15438516,34.24763726
