CH1,CH2,CH27,CH28
-260.195030359277,-57.1473561013628,-1024.36645788047,839.642113897843
-265.373583539061,-54.2347858416318,-1073.00672460515,874.731323840123
-267.617901973074,-54.8813414048406,-994.585463943692,808.41886688341
-274.427812392375,-59.5321788523811,-1102.49161084486,887.331888600304
-271.963648125955,-53.6705867749735,-1008.6391984561,839.224927480281
-244.328529421697,-62.162773197634,-1017.23655773913,840.7246865072
-256.434794637191,-54.6782362004417,-988.520275571936,810.210732487742
-255.740243841723,-55.9206650590205,-999.384609352313,807.838940498935
-260.205532587558,-59.0478963231734,-1068.2656420991,844.414183187361
-265.502310191341,-62.1702648365181,-1024.78993708275,827.541355201441
-263.56401956747,-56.607237550352,-1050.21290447956,873.204168106569
-248.119873475272,-58.0813326165308,-1007.12910285492,822.914111348639
-251.808867490041,-57.772846199455,-999.527468503591,813.837545934776
-257.865881656582,-54.3368083816032,-1078.43806538144,896.755879590909
-258.867459071657,-57.8049701991015,-993.944057664303,801.555762695408
-268.957404768467,-57.0573724734719,-1040.09499190262,863.361823294677
-256.102568013959,-58.2570109977781,-1045.68645309462,868.529652400617
-248.178750454406,-55.747374507538,-1022.81931457226,851.31516772297
-250.891297417119,-57.920939726091,-1009.12425945996,837.96479766609
-254.233304915242,-57.4459043560939,-1029.9874943259,830.318908926425
-262.230078480413,-59.2205951255049,-1019.86732697953,824.278705472725
-272.458326305062,-53.944444945755,-1012.70761387571,838.73351969943
-256.077390129843,-55.9366679441617,-639.518137252368,-43.6955370120977
-250.395288314494,-57.5153789087434,-670.762459421301,-42.9813684528714
-244.63427193831,-54.6113201745928,-665.356169349307,-55.0868666812954
-241.247429423587,-56.017096050953,-524.566915143878,-118.131780430092
-247.113495548384,-57.9461176421473,-464.456261285111,-137.967874803063
-256.386375949465,-50.2288544404286,-445.874733745604,-140.624284502301
-221.165421074056,-51.771281200753,-705.826565835985,-124.96264302863
-200.785487348097,-50.2614914009311,-722.189165775557,-120.258572765996
-183.803312319218,-42.6073496551379,-767.551921070322,-136.145618800348
-165.775483048555,-36.6510172913991,-786.770053535322,-153.445740817226
-158.524995755164,-30.3091756211845,-840.690856179859,-155.663516307662
-149.770351825916,-42.7703263368148,-913.579515309052,-137.004737832033
-131.31267933601,-30.539508192326,-980.278942052358,-99.2980181490057
-133.479156252389,-29.2489292462876,-982.825014815041,-93.5561192231907
-127.415506311696,-34.7633515237365,-982.723769494227,-97.7535583831509
-126.334512451964,-35.0218727336802,-977.929955587378,-101.072492808983
-129.590534370592,-33.5889304237327,-976.832877108342,-105.879948212145
-126.726411179656,-36.0581989002524,-939.157942433659,-95.4656772285899
-110.223347156334,-28.9408805823336,-919.309402016081,-90.9580211114071
-93.8672544486468,-29.4011374718419,-907.803041118897,-83.3881608452409
-90.4328247395967,-22.3287355016802,-925.973894965988,-84.3898479492782
-84.2513535325382,-25.3377056452076,-964.324323676436,-91.9386501241065
-87.3212588479928,-22.8671901965345,-934.490324021099,-78.1600973809098
-68.3435012549967,-25.0053897435024,-934.326270522539,-87.7199327061238
-60.0942605643532,-22.787367908999,-950.366622012145,-94.0113088023985
-55.7453287628823,-23.4742580098091,-957.356212704229,-88.786290832213
-59.3683111601842,-19.3781188014471,-959.856907865909,-104.926198718117
-59.1138881783786,-24.0601695022443,-980.902956076239,-94.0300495964378
-52.9284577608544,-25.4671061251713,-938.910485455012,-85.4043012778563
-29.661602484757,-28.0144388155687,-943.950113418725,-72.1965252135887
-26.372271522405,-22.9009171290696,-941.71031865509,-75.019555440256
-32.2207909781682,-18.4879880000248,-982.969114131905,-63.6759116146192
-27.4494040944723,-22.8395937604975,-994.649335500793,-81.2807040798666
-30.3867275280333,-24.1957675480079,-1004.36115985573,-92.1136900406321
-21.3169263378932,-31.4199126198554,-958.738213775064,-66.7978869736728
-9.78533797576934,-21.9019828805164,-957.806793640969,-66.8755954501657
-9.81746791169205,-21.5248236773814,-945.262841083644,-62.4802672422538
-7.36348015745221,-26.4925078905009,-967.506304373536,-61.3136785496425
-11.4308168942613,-23.6075200795073,-964.511014056471,-70.7588417960017
-20.638490718995,-27.4698819314933,-979.563102625584,-72.2719388991154
-5.22783918323795,-28.4115390232149,-953.980076480989,-55.5468941625527
3.96404895069728,-22.9552329334306,-968.73541768331,-58.5501076357107
-1.7935311421008,-17.1360132561757,-990.370120143511,-66.0347796225729
-4.36061648436446,-23.1661196387518,-968.975720084983,-96.7255832034315
-14.6965760941442,-20.7823438166262,-963.708632228357,-88.8841979205443
-27.349012189673,-20.9999651942907,-334.231645756117,-142.750748890764
-19.0219600129787,-22.7150024538953,154.996024610584,-137.519457513811
-19.9398043626264,-22.7831050489608,100.54642023854,-143.466854027586
-26.7290463874751,-22.4251372940211,64.4284127755483,-138.731395496169
-35.5067904536711,-20.490680115101,5.4576929404795,-143.931447461404
-38.5340942040036,-14.2357727317562,-86.2232536097123,-154.923516388848
-48.8845014957664,-16.6652130770229,-109.973046815226,-146.123262075495
-37.9653546509902,-8.62749299964966,-152.362514172677,-143.924457584044
-35.7007225628473,-8.81123451260461,-227.841368409724,-143.205984826395
-37.1565720352948,-7.74627667520002,-306.918863248674,-147.422626758741
-47.7134183886462,-7.14105133198598,-390.040373985508,-149.334418855264
-63.2433502002475,-4.12919237755891,-460.192481834429,-151.932828575649
-70.7574571660435,-2.32595705699879,-458.318601450936,-138.919557868343
-60.5302180495001,-1.35282008083518,-489.47646495262,-136.169715865353
-71.0871785441597,7.70217374208155,-535.236795507984,-129.485817041129
-71.1875696068099,3.64349853818779,-581.139279679552,-127.212161124546
