CH1,CH2,CH27,CH28
-75.41438999,-12.75052882,-38.72049467,4.765084034
-87.833421,-14.457999,-44.28933908,3.489447073
-107.949768,-19.31691846,-52.2333917,2.765783007
-122.3724591,-21.64902326,-44.42762942,4.376217374
-69.98270176,-11.03148985,-36.33010774,4.996639164
-71.89115183,-11.85440583,-40.85673094,4.690836901
-84.8432241,-14.18189969,-46.07517811,3.711114292
-104.0640417,-18.82909345,-53.54668032,3.254944333
-122.7517567,-21.29587427,-50.03733068,3.86431305
-76.22008854,-11.73335904,-40.12841092,4.915689759
-69.7551519,-10.46287854,-44.00246881,3.817652684
-83.9025599,-13.26959354,-48.67401456,3.521124712
-102.7462208,-18.0665071,-55.93513164,2.560607481
-122.8237539,-21.0147824,-54.93686459,3.693814625
-85.92102418,-13.52572136,-46.03838507,4.509966131
-82.87480482,-13.64405071,-50.1425876,3.863760466
-95.62193389,-16.38786389,-55.18586129,3.12122913
-115.7273552,-19.79222058,-61.74077834,3.414237953
-132.9959983,-22.54166438,-57.94645221,3.614392516
-93.56759383,-15.33116317,-50.83344588,5.041705633
-95.06825908,-14.93507615,-53.71198024,4.354793579
-107.3218463,-17.52729593,-57.95754878,4.338476481
-127.3420685,-20.66673314,-64.18670765,4.329450321
-141.3197231,-22.92787313,-57.04509435,5.217562039
-97.96871689,-15.07171343,-49.9740817,6.10319271
-101.9244999,-16.08230964,-52.92443939,5.505346251
-114.1355402,-18.99065668,-58.25252072,5.099274473
-132.529333,-22.0601728,-65.1313592,3.977853925
-132.8119896,-22.11714279,-53.58435519,5.193057907
-94.34351591,-14.60525591,-50.17322151,5.993000198
-104.4661324,-17.37025424,-52.48495436,6.111992583
-117.6837342,-19.87010352,-57.46276845,4.74281834
-139.3283131,-23.18180429,-61.21803626,5.00011008
-116.2711302,-20.57303776,-48.98085594,6.286384939
-104.4458624,-17.58055685,-49.53027517,6.244035933
-120.0617899,-20.87808267,-52.7408097,5.534040767
-137.0175147,-24.00650853,-58.88397981,4.746850613
-152.7152671,-25.96244486,-53.40727516,5.560179785
-109.0721607,-19.1266289,-44.93521541,6.455173471
-110.3915895,-19.26124258,-46.57202759,5.734620443
-119.44846,-21.37208116,-51.46990036,5.758327546
-137.0536505,-24.34458773,-56.93145124,4.75295001
-141.1088975,-24.69561891,-73.2067993,5.74534704
-97.74783354,-16.69311049,-99.24914598,6.962807414
-109.7889387,-18.19397517,-128.7102408,6.392828803
-130.49325,-21.02349953,-154.178377,5.291449693
-162.5063603,-24.00140078,-173.5827942,4.449423481
-174.9860662,-21.98320122,-168.4808606,5.208659748
-160.4802968,-14.91279379,-167.3096606,5.665363966
-196.7404875,-17.22267053,-168.4038776,4.669761311
-237.3130662,-19.44155521,-169.1892306,2.58762685
-284.2841471,-22.88209759,-167.2612376,1.267298784
-288.0911853,-18.48171411,-148.6826615,2.033276734
-295.1084118,-14.47015864,-141.6863135,1.838387418
-332.5604106,-16.88325903,-137.7008027,0.970551843
-370.4210011,-19.23504759,-139.9864816,-1.367418521
-409.0037074,-22.50256318,-133.1083889,-1.604402815
-385.3691113,-14.81944216,-115.8130437,0.693977128
-381.8786789,-10.48894755,-115.234683,0.492349161
-404.7328149,-13.09955297,-117.8290765,-0.325452613
-428.4203188,-16.27696094,-124.1092308,-1.510634477
-451.065102,-19.83773463,-124.8766563,-1.732963392
-416.1404411,-12.40284224,-113.8223709,-0.504491901
-397.2235985,-8.21599873,-115.1968555,-0.013125034
-406.2024011,-11.57746117,-120.6856196,-0.543542023
-418.9200216,-14.31288754,-129.5479328,-0.822535141
-429.505371,-17.58998687,-133.8783854,-0.885588648
-390.0225071,-11.30187917,-123.8621482,1.033501845
-360.9677802,-7.204018978,-127.2919323,1.648301123
-363.7742375,-9.608500339,-132.0128318,0.683152257
-369.3983905,-12.7507995,-139.9837796,0.745979512
-376.1128322,-15.95700218,-141.782276,0.982911367
-331.3536323,-9.287974968,-130.4142724,2.644957566
-303.2708897,-5.410358057,-131.6466435,2.739409332
-304.3935609,-8.696053662,-134.6378905,2.283531154
-310.2271416,-11.65651962,-139.8788084,1.818923394
-317.6497314,-15.05467664,-136.4804346,2.395504155
-266.7178366,-6.362982541,-123.2851687,3.959408578
-242.8300877,-3.795431212,-122.5982703,3.606034066
-243.3141489,-7.064611176,-123.4161159,3.096292042
-250.6877745,-10.48481025,-126.3242274,2.886966007
-260.3851907,-12.97598404,-125.3931948,2.680644433
-220.304385,-7.067915628,-108.0680738,5.151509423
-188.3481431,-1.480149448,-104.126617,5.045401148
-192.133768,-5.164518642,-102.6604615,5.017828976
-200.4124099,-8.106787344,-103.8772746,3.442334002
-212.3442686,-11.51587398,-104.5952002,3.448545787
-185.757642,-6.831598918,-87.7674672,5.551256483
-152.388851,-1.309234801,-82.79304252,5.871727009
-159.7710855,-4.889936466,-81.6629219,5.212273487
-169.76436,-7.780164054,-83.05490495,4.638498655
-182.1384399,-10.99068845,-85.1781603,4.202323469
-161.2936684,-8.334249108,-67.89556236,5.358739679
-122.1141745,0.292983281,-61.30582258,6.142826948
-128.0260533,-2.613629471,-60.27563293,5.629287801
-138.2750784,-4.924488642,-63.14914782,5.754051907
-154.0433088,-8.876736851,-66.76562933,4.483764467
-166.4372699,-11.62622443,-56.80013292,5.20554639
-112.0429878,-1.273069385,-44.37537018,6.560816719
-105.6544558,-0.648047613,-44.52733431,6.77056517
-113.02663,-2.821201246,-46.98431023,6.034314306
-130.0636485,-6.970528033,-50.84735811,4.842194809
-146.1793426,-10.31448469,-51.21388539,5.05005707
-113.2373041,-3.154492057,-37.76626088,6.223596778
-93.8838005,0.244741587,-37.06640452,6.507473061
-104.2962944,-2.55604593,-39.06521591,6.509196324
-119.7381028,-5.963890052,-44.09011596,5.414326102
-138.204084,-9.28246902,-49.15976603,5.114212652
-122.7947946,-6.893237133,-35.87844826,5.936227234
-90.48334966,-0.264751707,-33.24164715,6.493961965
-99.98927714,-1.933037636,-35.35210839,6.507633407
-113.0825684,-5.296471402,-40.37049027,5.774605072
-130.5573949,-9.064114624,-46.46819882,5.477146946
-132.1986706,-8.486236042,-35.2815444,6.788740675
