CH1,CH2,CH27,CH28
6.800218721,-19.72145496,43.07285412,26.28665661
19.64154309,-21.51474762,49.23864616,24.5034326
16.75288236,-8.662965973,50.80504375,24.03857182
31.80513945,-29.28827829,48.25185751,24.21805467
25.62088078,-21.98565661,42.45674559,23.45539827
27.93021688,-26.07079002,38.84289199,23.34357762
19.17658771,-30.02220541,36.02710613,24.90659406
12.75361457,-17.35727638,22.39343805,21.82038651
19.59939112,-21.06982395,37.71091013,25.62892808
29.75353178,-20.46839973,44.45966224,23.92342089
32.56494021,-9.876940647,43.73817646,21.76812066
34.09515368,-8.860216092,40.63440035,20.34502762
30.61870726,-7.125577742,37.7156726,17.50105885
24.88874018,-8.982943194,34.30870191,12.61657569
21.42709735,-9.468108959,27.46645214,11.10893312
17.04601231,-12.68836653,22.3759542,5.462689697
22.86881988,-10.79600938,40.711489,2.671418041
35.9519524,-13.33246331,48.05426141,-0.227171166
38.7814392,-11.36537085,51.98145437,-4.255408175
37.25638722,-3.746030646,52.37228109,-9.019257596
48.7076711,-8.80346392,52.13546691,-9.644801064
41.76060121,3.064637557,57.37522657,-14.59195837
47.72010421,-6.713691197,59.07938101,-16.76701032
45.85432762,-5.315830696,70.51930887,-17.13436891
55.90848783,-8.276081325,90.06120418,-15.66921029
66.54895081,-3.308080754,97.09840107,-17.17462886
69.37745317,2.611804819,106.9132506,-16.6201288
68.14150463,5.95982776,107.1273568,-14.99205652
69.07987915,7.952697469,111.1118624,-15.49783319
64.99343042,2.834266183,108.4114131,-13.04615058
59.99186224,14.28384898,110.2047694,-12.41875182
60.14311685,5.589060798,126.5220081,-9.96194933
74.08939556,9.699606727,138.8744484,-9.120738375
71.71020799,25.09733826,143.7208588,-6.40617637
69.84593674,21.26703898,142.788788,-5.542667585
71.63949573,19.25798738,142.2296257,-3.914586116
71.34809477,14.37503032,136.4545133,-3.210076592
64.73874461,17.63223737,131.1555549,-1.033040536
55.65057712,11.24624426,122.3957278,0.581013231
44.31369435,14.48734154,134.889796,1.852844755
53.47388506,16.09007549,140.8946618,3.162293298
55.26000309,17.07543764,137.9038019,3.275371786
55.09626995,12.86976586,131.3341774,4.545982984
50.82830731,16.62079015,123.6455169,6.054140723
36.78041244,25.42344157,116.9651121,4.853925914
43.68352767,14.29926833,106.6742784,7.46276804
29.36361062,19.76920299,98.27330034,6.508502396
29.48644249,25.19178477,113.9259418,7.781626414
25.31140255,28.83202892,111.4222854,9.061091511
37.30184925,17.72687336,110.7018136,10.18903352
37.95950909,15.07777924,101.9695247,10.46995332
31.91339127,20.23918622,96.51316331,8.694272378
25.59731529,19.34489856,86.99008096,10.62785532
11.9162923,23.14943413,79.00940898,9.923797974
14.98254075,6.458023316,69.65607531,9.471056725
15.52230667,11.17351898,84.56335365,12.17372793
20.85816291,14.55605221,86.59240161,12.56409073
20.30295166,11.57417724,84.92537695,11.91162932
21.09421116,13.78823419,77.39609531,11.17887149
16.62153701,14.48205824,70.49982053,13.545832
10.89416729,14.71555254,64.81957171,10.86030982
1.47855818,12.38514077,56.67783052,11.17351992
4.164829031,5.225235962,54.33292338,10.9570609
7.286979786,6.551844967,71.9810955,14.72999145
15.69732941,6.466691467,76.64341449,12.94507031
12.60334498,11.34325018,75.78839671,13.09384519
14.72991256,14.64817149,70.98455243,12.4079943
19.9582035,10.37659895,65.35138167,11.46777583
15.58230041,8.451447487,58.74350985,13.65017372
17.34734328,-0.450528207,51.46784776,11.8303099
-2.24269235,10.65566063,45.37122827,12.81129621
-5.71208447,2.01634695,61.5844693,10.71567039
9.056457417,2.253031531,61.95215927,13.30070964
8.0441214,2.099477143,65.50221298,11.67572338
2.41949629,12.18428403,61.07525904,10.63903882
12.25045755,-7.031849345,55.82971574,11.76928708
8.718930742,-4.440702652,51.42348728,12.01922515
-10.06055216,4.846173013,44.06017195,11.59790464
-11.65355259,-5.413414196,52.43409758,11.04630083
-10.84258967,-1.352344116,60.44234302,9.904749239
4.016706169,1.170489134,58.41584494,11.44447901
-7.431663724,8.358749803,53.9795681,11.78999546
4.481871966,-3.229506648,50.10565653,3.072239418
4.790267128,-1.443749836,44.1586152,-6.554657504
4.021029744,-0.672644687,38.4960325,-13.22559615
13.55400959,-11.71252309,45.17500917,-21.17930417
26.84822623,0.523266649,56.3107448,-23.70627979
53.99143923,-8.870198145,57.41030239,-28.47237997
77.75141499,-20.90287023,60.82513394,-32.45685834
73.69037774,-2.595255818,56.19676117,-34.25832028
84.36000642,-5.312126302,57.11230365,-36.04828248
93.80966855,-8.828998559,54.97872037,-38.0162171
92.32478794,0.796399222,53.18775504,-39.69706564
103.7911574,-2.219926413,76.64659696,-41.67966201
119.9221878,-2.203657807,88.7336794,-42.77271949
124.3980531,8.398953864,95.12198925,-40.38504402
125.4583586,7.675424437,97.67565828,-41.92689397
123.4526185,14.42646426,101.3485063,-42.83251927
116.2563303,17.55664186,101.3887813,-41.39563228
106.6657658,13.60592735,102.7943785,-40.83670764
98.28004508,13.243745,121.0634371,-40.79132255
108.9325694,8.430226303,134.9039835,-35.27281635
115.145045,8.297243448,141.8778769,-34.91479403
99.01452956,20.36395348,150.1756534,-34.5995885
107.6465394,14.75126245,145.9179046,-32.17799215
88.88202607,21.23937406,147.6484817,-30.12501108
79.72909703,19.26359113,144.2219877,-27.89782195
63.65612768,26.18672007,143.2408633,-24.90176881
53.29484189,20.54413137,159.9413586,-21.24612214
48.46428391,30.9877872,167.0626653,-17.93750039
