CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36
126.0187332,65.14576715,79.93448629,53.05502582,102.3753227,12.0489842,64.49478799,-10.39408562,23.14825326,-0.455661352,45.3615893,15.87523338,45.33821341,-17.55655532,-45.39514472,2.456092555,-35.37965649,10.57961601,-25.19056379,-32.42168116,-67.8977156,89.9874152,21.69156062,-7.409480006,182.4867919,-28.73464958,1.611251334,-26.15247169,18.63005002,-2.559332991,65.93532789,64.00924542,35.52457645,29.22958421,22.53964386,48.28371042
145.0501095,53.6283033,64.66797069,68.42426142,78.71106677,37.43420972,66.83983325,0.271483783,24.74762825,2.630750156,46.06656617,23.72906141,31.2183301,-0.847077511,-39.01883998,5.114696792,-33.69445794,5.929479514,-19.22466482,-22.43180681,-28.62456081,83.61712026,26.30222142,-8.700454965,62.14746306,73.99623122,18.54077867,-21.07554668,52.91284966,2.709226516,84.22534372,67.84061831,56.45969691,31.1016071,34.96348183,50.04845745
141.5288435,52.3646205,88.6300753,46.43634033,76.94044883,46.24879929,67.90060368,5.714951899,25.62715995,2.95292959,48.53600728,20.00100602,35.74229631,-0.46228096,-39.27156838,5.444594413,-19.21469198,-5.518851362,-13.86201881,-30.43057393,-32.6685055,96.76050704,29.95881486,-2.874384145,132.4832583,-29.95855827,40.208491,-62.80573774,54.28833409,2.21916896,85.45791038,68.70067079,54.78807531,31.43465501,34.18786537,49.33319101
145.5634344,48.06758624,83.07682252,50.48439873,68.31609856,63.15064894,57.26322025,9.14649827,23.51612333,1.387833736,47.26358651,16.81850814,36.2751824,-3.098104169,-41.60780179,3.136895354,-39.05501979,8.212354422,-4.94068943,-32.3109876,-72.24566557,135.1649995,13.86737659,24.10109082,23.57658458,109.3269375,29.24037308,-41.3505485,49.98451351,2.104284552,82.61692465,63.8409495,48.70917449,31.09926932,30.91576986,49.71293034
141.0387151,52.19314705,76.23947684,51.83593151,83.553421,32.79131179,68.77807017,24.73227259,26.39815469,4.052161016,50.93788447,32.77977085,36.20159037,0.113120793,-33.61387619,10.94869249,-33.48292323,9.459681832,-15.11338133,-27.2885166,-59.46642298,120.0592377,30.00737249,-4.918767744,71.6925721,44.26636828,-2.546958597,2.943390523,35.47818041,0.961073714,68.16469531,62.24100627,37.46340159,30.36949577,23.30222538,50.16446397
135.0619054,36.42902842,71.06328185,44.08982382,73.60912083,33.3408502,46.62687057,15.89804602,21.07463101,-1.854022399,36.56331747,20.01006212,15.96462829,-3.302261561,-42.13177555,1.403659729,-52.43325123,8.86224023,-19.90069565,-35.36640171,-71.69939246,93.19794597,4.931448689,18.66256394,32.73768622,66.234363,-35.00385254,45.91048826,19.87856748,-0.222395094,47.47158034,71.57041315,25.39515884,29.54892197,15.81112242,51.25861154
121.2288523,52.91653533,65.43270127,46.10634977,68.57691146,31.9135695,54.92116978,6.616623434,19.45668917,-2.595545066,40.215965,15.43071287,23.99365246,-7.95609155,-49.39521193,-4.702805758,-51.54449545,-9.444383967,-31.47562085,-32.57496084,-79.27053515,104.1675436,2.803186361,17.72496731,-33.60747711,201.9279625,39.75798245,-42.61428865,4.150895819,-2.598833566,50.13741548,65.83551765,13.8550481,29.4544766,10.03886832,52.87741223
144.831135,40.47389131,61.30496668,52.93641673,73.24170128,23.81106649,52.10919923,-0.323567444,16.88395582,-2.448304249,27.11979374,21.15001237,12.11768413,0.761836955,-51.13950037,-6.605749467,-49.49337335,-12.68194549,-31.92477006,-37.38648726,-95.13280697,104.2117306,0.561658713,18.96535278,95.29028637,-4.65433794,29.41801709,-62.94018392,-12.43804401,-4.06478097,36.06892109,65.11168058,2.788791712,29.49828623,0.919186366,54.61620648
161.4316257,48.44005202,61.03925646,40.566912,75.53948691,17.73984623,46.71278862,8.01026158,18.32704472,-2.972313872,35.53899626,19.16188434,17.01161848,-1.408502682,-47.52424634,-3.452660766,-51.18491473,1.623233778,-16.46273567,-37.16352318,-62.1863379,105.2608359,6.217003624,16.53527203,69.19664331,83.68675309,19.1146301,-14.95700198,39.92192408,3.346626392,66.75639054,71.4777705,41.68009672,32.52632015,24.71188421,57.54271633
212.763625,41.2637679,65.16680519,52.86703966,78.01397806,26.68038437,54.53512195,7.953323725,19.47521782,0.391819282,42.41892648,16.58319836,18.89157387,3.408617657,-45.17299536,-3.099427294,-30.77859231,-22.83470626,-17.23464071,-37.93445184,-37.86127272,89.68049044,10.41327677,23.12237156,28.34969718,101.3595634,-3.913995894,0.556388179,50.75003438,3.971066377,81.65441203,69.05926114,48.25776106,33.05884643,27.54178851,57.66003127
