CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36
-131.967345344012,-132.064798896494,210.463991352515,9.13609307297945,474.149551966649,163.510944566493,854.135006815399,620.67934458853,775.850376026996,564.076809344473,-1997.10413995144,-1134.25384850538,962.420532224043,614.619510946695,-169.18954731332,33.4236522182907,-1840.62819406712,-1186.39263394442,45.6757376203842,158.899672148634,-793.191563330907,-340.179217414835,-515.312833732173,-214.195738361162,-339.297589124088,-75.0425044340483,131.76087902101,190.720775834791,-11.233588616227,-3.26622352472115,-12.5630787262076,-25.7582040487868,7.06895671983521,-273.481911596103,-1409.69336077292,1969.14660177273
-122.595968714142,-131.542901848146,216.212863314323,10.4824484696853,479.978654741332,164.87608959508,859.362820084148,618.397167658122,780.604163620015,562.001566060306,-2018.34159684055,-1138.08522730746,966.58110707854,614.678785723179,-159.757970386695,34.1902183777437,-1957.5254515835,-1269.28758726411,49.003911327033,158.735841828237,-801.849305301019,-325.447907741615,-518.986394803678,-204.60301067087,-336.815058308375,-71.6086718224183,135.111277337984,193.683481475389,-30.3004356141877,-32.3291003928539,-27.0016040045605,-47.7663044110061,-75.5468249923716,-217.515826958482,-1468.9056810077,2009.25857138882
-121.706016707163,-131.899330804135,219.227422865449,8.37276175482837,483.035285252615,162.736960255449,861.070113596937,616.342507693193,782.156650348502,560.133209914622,-2021.54126284767,-1138.73699978359,965.354514526981,614.31359423171,-159.673064590354,34.5712301847719,-1940.34709235723,-1256.20480442722,50.1590129411865,157.864578080919,-807.934387691671,-318.433019836145,-521.986317584685,-201.485756382506,-335.84643695497,-73.731005345901,144.469081886763,179.494763931538,349.818902869456,-489.957725561376,260.846862922034,-394.30931035742,130.057609915902,-264.318996620139,-1321.54502679408,1975.71383922539
-122.589702622621,-132.566361340326,217.078166293959,6.71190167363921,480.856033822489,161.052921339304,856.266756626047,619.65165084326,777.788831989426,563.14230049258,-2011.40514725803,-1136.72761210045,964.28911749802,614.422278079024,-157.699320284611,32.5638900027925,-1717.96568705269,-1107.77985062067,49.7066966098687,158.223347612971,-798.921466473763,-328.475231677612,-518.465783845227,-207.382192906453,-338.841696337157,-74.6794128134716,132.446129590467,188.307378690889,-203.001208473286,-47.8064997755259,-157.780671712184,-59.4866912297485,-391.008573803315,-42.9292305124581,-1695.00318568891,2134.3881440106
-126.725054533949,-132.94668116765,211.616695926986,8.45876218850337,475.31834359709,162.824160904532,855.375184782542,617.58270605091,776.978102349699,561.260954779007,-1999.63790876552,-1134.87943204871,962.184771036394,612.738068851288,-161.763515981898,33.7660633410686,-1554.80605890351,-1008.77054304122,47.7853147656656,157.626889133769,-806.260919054799,-328.163931468556,-524.808376825367,-207.149680342926,-344.613783130607,-74.4732406124928,130.86509622149,182.497387382374,139.562047563479,-329.125296370018,101.62814571058,-272.517642615674,114.14960695061,-336.056967141478,-1332.94659858043,1924.29785555413
-134.411206729515,-134.164373480067,210.350775720897,7.21227294257693,474.034756306424,161.560275751007,849.157953499071,616.912891052279,771.324611029537,560.65187444916,-2001.05773858083,-1134.32449560932,958.418828685327,613.367689191918,-167.664399091663,33.4924459030491,-1632.34650784213,-1055.58533291519,43.8960132754473,157.059074655176,-799.667695859905,-338.252455052179,-522.670132232865,-212.860639805286,-348.05722304257,-74.6991693329446,124.86670472197,183.592469813468,-58.65937279552,-234.195224115955,-48.4766403020506,-200.631071749354,88.9813975370913,-265.693698213118,-1350.98513848943,1974.72856414521
-141.061329213375,-136.461489101685,204.825971825482,7.24362621481859,468.432848674754,161.592066587093,841.785643357947,618.916539481394,764.620776236838,562.47384446864,-1994.02895814594,-1132.04699011497,954.820807782811,613.040386405466,-172.416187496527,32.0882479320337,-1633.95433822019,-1056.68305997182,40.6029533515935,156.143020069001,-820.917294237044,-326.484400072686,-535.608817236058,-205.856773995354,-352.073132775108,-73.198901324685,121.511096760923,184.484217891951,86.759466006546,-301.513783102716,61.6429605012157,-251.608599168366,60.793206695354,-300.07565419228,-1371.1881571908,1950.08635480525
-145.836591931344,-135.405614151938,201.910504213064,7.24172947129971,465.47669302162,161.590143372769,842.692861372624,613.705126872873,765.44573335,557.734970425723,-1986.16380352851,-1131.5046537396,953.029994683778,612.397270479218,-172.803763136507,33.5925657864997,-1735.13004432796,-1119.05876685366,41.9994170996375,157.604428391461,-810.698493487849,-326.185816785083,-527.814522346338,-205.345288628236,-346.320718915623,-72.5501922613886,124.785707196543,189.218248777938,-148.928417344565,-114.065480600746,-116.833609952752,-109.661844450686,7.75888473894919,-206.48256957238,-1409.19887608779,2017.16631923117
-132.288266255277,-136.046348689389,209.800721048828,8.69852243180825,473.477025113855,163.067267223265,848.41811741906,613.618819595794,770.651858695583,557.656488957111,-2004.76237031619,-1136.07580235497,956.060418622902,613.395443063837,-165.617538867711,33.7095361209056,-1863.68660403548,-1202.66546360793,47.0107260350701,157.117714700669,-789.320949420957,-333.285721753574,-515.213214530842,-208.699947561936,-342.947438851823,-71.6352573578657,131.173247589309,186.967460470962,-34.653234377116,-242.399443730713,-30.2977963418065,-206.843783914586,115.910990712378,-333.478381185075,-1331.68418095032,1926.14597771964
-132.074897420796,-135.876452749286,213.358374019097,7.30162342907368,477.084328414072,161.650873205989,848.880835638146,613.211016908329,771.072620497099,557.285663287483,-2010.05731620157,-1136.85785853911,956.560509082886,612.888783718501,-163.237626215542,31.95973314183,-1927.83243947038,-1246.70689243321,47.5781056795455,157.085013190306,-794.994341247835,-331.77288575511,-517.935566797454,-208.246499352842,-342.492962362209,-72.3655550721174,130.163662276056,189.911583648583,24.2830435032109,-146.975048562433,14.3321803962537,-134.582882992891,43.4029956235145,-336.976279193798,-1383.65205604397,1923.63896691918
-133.164646407994,-135.692133682881,211.866637235589,8.05406388730686,475.571773067283,162.413814665115,847.712404651757,615.185693965134,770.010135584029,559.081288878966,-2016.31675692612,-1138.25875971004,956.593936480635,612.372683421043,-165.257637594534,34.2743250350792,-1949.47251397772,-1262.71887677442,47.5017359226624,157.378355909488,-796.814483158333,-332.94174150217,-518.947267043058,-209.489762423966,-342.679527414944,-73.7672509531477,130.289742218272,187.781016559916,42.8922315068487,-169.048520248084,28.4241396713706,-151.298199319096,24.637662387998,-269.274362675353,-1397.10153140843,1972.16223303513
-137.998983375815,-135.751021726174,210.226898488896,7.47160163668911,473.909150253346,161.823223616335,843.289005135123,615.117455141596,765.987822494378,559.019237528617,-2020.40685871785,-1138.41438377972,953.557408176635,612.408192013627,-169.695543585966,35.5305212382814,-1937.07532166339,-1254.14346233133,45.5157382630833,157.190032863617,-794.446150264029,-334.035322940145,-519.736343814209,-209.451467722496,-347.177195382375,-72.4467969829953,127.707758646173,187.478575901706,363.206665966471,-322.160381084066,270.984855633547,-267.243403753393,101.936794672821,-339.330343434802,-1341.69975610763,1921.95176378677
-143.07650680856,-137.984488248295,208.259978510514,6.51016439139305,471.914780091732,160.848368627136,842.398280623094,613.673344747089,765.177863355363,557.70607010594,-2027.78378633205,-1138.35288391568,950.280984498062,613.283014011156,-170.576234319018,30.9589694516551,-1947.00818902857,-1261.38112864005,41.8820799979358,156.392561412734,-805.151754539375,-328.702626931215,-525.974280239199,-207.26149017483,-348.410572244041,-74.281980774813,124.356849976236,184.612185468068,-32.5354704977385,-226.49794082743,-28.6941023850005,-194.802241248543,-19.2908401756663,-46.9879236257652,-1428.58593435574,2131.4792005693
-151.7534351624,-138.137607936947,205.140143837919,6.59987097885174,468.75140524752,160.939327152797,836.670261124131,611.337720835232,759.969225129985,555.582226081037,-2040.03531056118,-1139.8225962102,948.460883699382,611.968887062226,-178.711062737963,33.2872459168193,-1991.41922401659,-1267.71342022165,38.1184077109933,156.163239699461,-806.28210362251,-330.25327631888,-528.384272692792,-207.572211180043,-352.683931015503,-72.9275496991961,117.417149479765,188.125637123667,-176.981303478384,-128.776371405347,-138.076886600287,-120.801786401866,109.966782358721,-180.705137683735,-1335.94450944065,2035.6415006092
